timestamp,time,force,position,strain
00:07:44.748,464.748,407,14466,19.4852941176471
00:07:44.946,464.946,406,14466,19.4852941176471
00:07:44.992,464.992,407,14466,19.4852941176471
00:07:45.184,465.184,406,14466,19.1176470588235
00:07:45.231,465.231,407,14466,19.1176470588235
00:07:45.436,465.436,407,14466,19.4852941176471
00:07:45.475,465.475,407,14466,19.4852941176471
00:07:45.687,465.687,407,14466,19.1176470588235
00:07:45.733,465.733,407,14466,19.1176470588235
00:07:45.919,465.919,407,14466,19.1176470588235
00:07:45.965,465.965,407,14466,19.1176470588235
00:07:46.157,466.157,406,14466,19.4852941176471
00:07:46.203,466.203,407,14466,19.4852941176471
00:07:46.388,466.388,406,14466,19.4852941176471
00:07:46.435,466.435,407,14466,19.4852941176471
00:07:46.646,466.646,406,14466,19.4852941176471
00:07:46.686,466.686,406,14466,19.4852941176471
00:07:46.884,466.884,407,14466,19.4852941176471
00:07:46.924,466.924,407,14466,19.4852941176471
00:07:47.123,467.123,407,14466,19.4852941176471
00:07:47.162,467.162,407,14466,19.4852941176471
00:07:47.354,467.354,406,14466,19.4852941176471
00:07:47.400,467.4,407,14466,19.4852941176471
00:07:47.605,467.605,407,14466,19.4852941176471
00:07:47.652,467.652,407,14466,19.4852941176471
00:07:47.870,467.87,407,14466,19.4852941176471
00:07:47.916,467.916,406,14466,19.4852941176471
00:07:48.128,468.128,406,14466,19.4852941176471
00:07:48.174,468.174,407,14466,19.4852941176471
00:07:48.393,468.393,406,14466,19.4852941176471
00:07:48.432,468.432,406,14466,19.4852941176471
00:07:48.637,468.637,407,14466,19.4852941176471
00:07:48.684,468.684,407,14466,19.4852941176471
00:07:48.895,468.895,406,14466,19.4852941176471
00:07:48.942,468.942,407,14466,19.4852941176471
00:07:49.147,469.147,406,14466,19.4852941176471
00:07:49.193,469.193,406,14466,19.4852941176471
00:07:49.405,469.405,407,14466,19.4852941176471
00:07:49.444,469.444,407,14466,19.4852941176471
00:07:49.656,469.656,407,14466,19.4852941176471
00:07:49.702,469.702,407,14466,19.4852941176471
00:07:49.927,469.927,406,14466,19.4852941176471
00:07:49.974,469.974,406,14466,19.4852941176471
00:07:50.185,470.185,406,14466,19.4852941176471
00:07:50.232,470.232,407,14466,19.4852941176471
00:07:50.443,470.443,407,14466,19.4852941176471
00:07:50.490,470.49,407,14466,19.4852941176471
00:07:50.728,470.728,406,14466,19.4852941176471
00:07:50.781,470.781,406,14466,19.4852941176471
00:07:51.012,471.012,407,14466,19.4852941176471
00:07:51.058,471.058,407,14466,19.4852941176471
00:07:51.283,471.283,407,14466,19.4852941176471
00:07:51.323,471.323,407,14466,19.4852941176471
00:07:51.555,471.555,406,14466,19.4852941176471
00:07:51.601,471.601,407,14466,19.4852941176471
00:07:51.819,471.819,407,14466,19.4852941176471
00:07:51.866,471.866,407,14466,19.4852941176471
00:07:52.084,472.084,407,14466,19.4852941176471
00:07:52.130,472.13,407,14466,19.4852941176471
00:07:52.335,472.335,406,14466,19.4852941176471
00:07:52.375,472.375,406,14466,19.4852941176471
00:07:52.580,472.58,406,14466,19.4852941176471
00:07:52.626,472.626,406,14466,19.4852941176471
00:07:52.831,472.831,407,14466,19.4852941176471
00:07:52.878,472.878,407,14466,19.4852941176471
00:07:53.063,473.063,406,14466,19.4852941176471
